Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
27.600000,49.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",124,1363.54
27.300000,51.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",26,249.57
26.100000,54.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",19,143.38
26.300000,53.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",17,214.29
27.100000,49.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",89,1587.02
25.900000,54.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",14,222.47
27.000000,50.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",36,616.14
25.500000,50.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",10,103.94
26.200000,54.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",25,223.71
27.300000,50.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",30,1069.27
27.500000,51.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",21,378.83
28.400000,50.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",17,392.54
26.700000,53.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",17,215.17
27.400000,51.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",16,94.84
24.800000,54.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",4,37.31
24.900000,54.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",5,14.67
26.300000,52.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",9,395.53
27.300000,51.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",20,148.71
26.800000,50.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",122,1123.79
25.200000,52.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",13,291.92
26.100000,53.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",25,322.49
28.100000,50.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",14,132.66
27.700000,51.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",19,306.08
27.300000,50.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",185,2768.04
27.900000,49.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",160,2191.96
27.500000,50.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",25,206.51
28.600000,48.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",20,77.50
28.300000,49.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",33,461.01
27.400000,52.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",4,75.49
25.900000,53.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",27,420.04
28.900000,50.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",9,75.15
24.400000,53.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",3,2.72
24.300000,52.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",4,2.44
25.800000,50.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",17,516.17
26.100000,53.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",30,452.66
25.700000,55.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",4,19.64
26.800000,51.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",9,126.45
24.900000,53.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",1,1.92
27.500000,51.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",29,292.85
27.300000,52.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",9,164.16
26.200000,50.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",3,14.63
26.800000,50.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",96,12204.06
26.400000,51.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",11,155.56
26.700000,51.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",14,281.29
26.600000,51.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",12,549.13
26.300000,51.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",11,276.23
26.400000,52.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",6,127.86
26.000000,51.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",14,339.02
25.700000,51.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",5,17.12
26.300000,55.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",15,403.22
25.500000,53.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",8,114.04
25.800000,54.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",18,505.83
24.300000,52.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",10,264.62
24.300000,53.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",12,76.76
30.000000,49.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",2,0.70
29.700000,49.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",1,1.17
29.100000,48.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",1,11.39
28.700000,49.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",7,48.48
29.000000,49.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",12,116.64
28.400000,50.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",17,188.94
28.300000,50.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",22,264.71
27.600000,49.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",2,11.41
27.900000,49.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",144,2135.37
27.200000,49.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",1,2.08
25.300000,54.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",4,6.65
24.100000,52.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",9,132.17
24.000000,52.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",9,673.08
24.100000,53.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",5,24.57
26.000000,50.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",13,100.18
26.200000,53.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",24,193.94
24.900000,52.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",1,96.51
26.200000,53.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",20,186.96
24.500000,54.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",3,19.57
26.900000,51.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",43,2636.97
29.200000,50.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",3,17.14
29.100000,50.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",3,12.03
28.500000,49.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",7,231.48
28.700000,50.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",20,215.16
28.600000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",17,180.27
27.100000,49.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",32,447.03
26.500000,51.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",13,145.89
26.600000,53.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",8,172.95
26.000000,53.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",19,372.69
25.900000,54.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",24,306.85
